,nuclide,Thalf,unit,half life ICRP,halflifeInS_OILS,halflife,DecayConst,OILDecayConst,comparison
57,Ag-111,7.45,d,7.45,644000.0,643680.0,1.0768505787968328e-06,1.07685057879683e-06,true
58,Cd-109+,461.4,d,464.0,39900000.0,39864960.0,1.7387379306537502e-08,1.73873793065375e-08,true
59,In-111,2.8,d,2.83,242000.0,241920.0,2.86519171858443e-06,2.86039034906992e-06,true
60,Sn-117m,13.76,d,13.61,1190000.0,1188864.0,5.830331985491573e-07,5.83e-07,true
61,Sb-124,60.2,d,60.2,5200000.0,5201280.0,1.3326473109695023e-07,1.3326473109695001e-07,true
62,Te-123m,119.25,d,119.7,10300000.0,10303200.0,6.727494182001177e-08,6.72749418200118e-08,true
63,Te-132+,3.2,d,3.2583333333,277000.0,276480.0,2.507042753761376e-06,2.50391286268302e-06,true
64,I-123,13.27,h,13.2,47800.0,47771.99999999999,1.4509486321693573e-05,1.45094863216936e-05,true
65,I-124,4.18,d,4.18,361000.0,361151.99999999994,1.9192671799130156e-06,1.92110555843784e-06,true
66,I-125,59.4,d,60.14,5130000.0,5132160.0,1.3505954229017514e-07,1.35059542290175e-07,true
67,I-129,15700000.0,y,15700000.0,495000000000000.0,495115200000000.0,1.3999715229101133e-15,1.39997152291011e-15,true
68,I-131,8.02,d,8.04,693000.0,692928.0,1.0003163107277312e-06,1.00022900894391e-06,true
69,Xe-127,36.4,d,36.41,3140000.0,3144960.0,2.2039936296803306e-07,2.2039936296803304e-07,true
70,Xe-133,5.24,d,5.245,453000.0,452736.0000000001,1.531018475579466e-06,1.5301424398314699e-06,true
71,Cs-131,9.69,d,9.69,837000.0,837216.0,8.279191756487517e-07,8.28e-07,true
72,Cs-134,2.06,y,2.062,65100000.0,64964160.00000001,1.0669685878489697e-08,1.06448822693185e-08,true
73,Cs-137+,30.17,y,30.0,951000000.0,951441120.0,7.285234640268073e-10,7.28593497873139e-10,true
74,Ba-133,10.52,y,10.74,332000000.0,331758719.99999994,2.0893111130882874e-09,2.0893111130882894e-09,true
75,Ce-141,32.51,d,32.501,2810000.0,2808864.0,2.4677135687592754e-07,2.46786539068426e-07,true
76,Ce-144+,284.91,d,284.3,24600000.0,24616224.000000004,2.8158144017536774e-08,2.81581440175368e-08,true
77,Pr-143,13.57,d,13.56,1170000.0,1172448.0,5.911965226261167e-07,5.91196522626117e-07,true
78,Pm-147,2.62,y,2.6234,82700000.0,82624320.00000001,8.38914233194228e-09,8.37826976812105e-09,true
79,Pm-149,53.08,h,53.08,191000.0,191087.99999999997,3.6273715804233933e-06,3.6273715804233903e-06,true
80,Sm-153,46.5,h,46.7,167000.0,167400.0,4.140664161051047e-06,4.14066416105105e-06,true
81,Eu-152,13.54,y,13.33,427000000.0,426997440.0,1.623305237052347e-09,1.62366498557205e-09,true
82,Eu-154,8.59,y,8.8,271000000.0,270894240.0,2.558737242105795e-09,2.55784393223423e-09,true
